Index,Time,Source,Content
1,2019-10-14T10:16:38+05:30,Times of India,"KOLKATA: A 29-year-old youth driving a car was allegedly assaulted by a group of men taking part in an immersion procession by a local club as he tried to drive past the revellers on a narrow NSC Bose Road near Naktala on Friday night.The victim, Ujjal Haldar, alleged that the men first assaulted him for daring to drive past the procession and thumped against the car. Some senior members of the club had come to his rescue and allowed him to go, but he was allegedly chased by the same group again, who then allegedly drove out his passengers, got inside the car, assaulted him and snatched Rs 12,000 from him.The incident happened at Naktala crossing on NSC Bose Road around 9pm when the organisers of Naktala Sarbojonin Durga Puja Committee, popularly known as Dalgis Club Puja, had taken out the immersion procession. The club organisers, however, rubbished the claims and said they had only chased the car as it had hit one of the club members, who suffered a head injury. They refused to have snatched anything from the driver.Haldar from Sonarpur was driving a sedan with three passengers. He had gone back home after the assault and lodged a complaint with Netaji Nagar police the next morning. Cops have started a probe, got hold of the CCTV grabs of the area and even questioned some of the club members. But none have been arrested till late on Sunday.Haldar had been driving down NSC Bose Road with three men, who had hired his car to visit the Kalighat temple. On their way back, they got caught in the immersion procession of Naktala Sarbojanin Durgotsab Committee around 9pm. “Most of them seemed drunk and kept dancing on the road, halting traffic. We moved slowly behind the procession looking for a way to get past them. Suddenly, some of them started banging the car bonnet and when I protested, an argument broke out and some of them slapped me. Soon, others came and took them away. They cleared a part of the road and let my car move ahead,” said Haldar.Even as he drove ahead and reached Lakshminarayan bridge, almost a kilometre away, Haldar noticed that a few bikes from the precession were following his car. Soon, they blocked the road and forced him to stop the car. “They charged me of knocking down a youth while I was driving through the procession. I was held by the collar and my car keys were snatched. I was taken out and assaulted. When the passengers protested, they were pushed and abused,” Haldar told TOI.The passengers were allegedly forced to get out of the car while some of the accused asked Haldar to drive the car. “I was taken to a deserted lane and asked to get down. They snatched my purse and forced me to hand over a bag in which I was carrying money for my father’s treatment. He is a cancer patient and I had borrowed the money,” said Haldar.One of the passengers, Argya Dasgupta, said the men demanded compensation for knocking down a club member.Dasgupta had managed to take a photograph of one of the bikes and cops tracked down its owner from the registration number and called him to the police station. Madhusudan Poddar, the bike owner, claimed himself to be an electrician hired by the club. He told TOI that he had not seen anyone getting hit by a car. He added that some club members had sat pillion on his bike and asked him to chase the car.Sourav Das, a member of the Dalgis club, alleged Haldar was cooking up a story and said that he was the one who had hit one of their club members. “The driver was speeding along the road and knocked down one of our club members. So we followed him. But none of our members robbed him,” he said."
2,2019-09-19T12:35:40+05:30,Times of India,"KOLKATA: At least two persons were killed and six seriously injured in four different accidents across the city. In the first accident, four persons were injured around 4.30am on Wednesday when a truck collided with a private car at Diamond Park close to Thakurpukur. Subhajit Das (39), his wife, Barnali Das (33), Abhijit Manna (38) and Bula Das (35) who were travelling in the private car were coming to the city from Bishnupur. All the victims were rushed to the Bangur Medical Research institute. Manna was later shifted to ESI Hospital, Joka after his condition worsened. Cops who started an investigation into the accident blamed the truck driver for reckless driving. However, locals said the miserable condition of the road was also responsible for the accident. In the second accident, an unidentified man, aged around 50 years, was found dead beside a rickshaw on the DH Road on Wednesday afternoon. Though locals found the man’s death mysterious, cops did not rule out the chance that he had met with a fatal accident. In another accident, a biker lost his life and the pillion rider was seriously injured after the two-wheeler hit a median divider near 6 No. bus stand on NSC Bose Road around 3am. The deceased, Indranil Das (24), was a resident of Bijoygarh. The condition of the pillion rider, Alok Das (23), a resident of Azadgarh, was stated to be critical. Another rider was injured when his two-wheeler skidded on the Dhakuria flyover in midnight on Monday. The victim, Ankit Shaw (29), received head injuries and is undergoing treatment at AMRI Hospital."
3,2019-09-15T23:01:21+05:30,Times of India,"KOLKATA: At least eight persons, including six women were injured in a road accident at Mayo road here on Sunday, police said. The accident took place at around 2.20 pm at the crossing of Red Road and Mayo road near police memorial when the driver of a private bus suddenly applied the brake and two other buses from behind rammed into it, a senior officer of Kolkata police said. As a result, eight passengers received minor injuries and were rushed to SSKM hospital, he said. The driver of the offending private bus managed to flee but the drivers of the two other buses have been taken to the Maidan police station, the officer added."
4,2019-09-17T13:34:02+05:30,Times of India,"KOLKATA: Almost nine months after the Kolkata traffic police claimed to have proposed the installation of nets, view cutters or even the advanced crash barriers up to four feet — on the southern flank of the Maa flyover in order to reduce chances of alloy-coated kite strings causing accidents and injuries to bikers — the traffic police now plans to make arrangements for nets to try and stop the area from becoming a suicide point.“It is third time now that someone has climbed on to the Maa flyover from the Park Circus side or the Pragati Maidan side and tried to commit suicide. The stretch between the 7-point crossing and the No. 4 bridge has also seen bikers tumbling over. It is important we try and convince the civic agencies — in this case the KMDA — on the utility of these barriers,” said a top IPS officer. Cops have also proposed to increase patrol on the flyover from both ends to stop a repeat of the incident where Sajad Murmu of South Dinajpur allegedly ended his life. The proposal for nets was forwarded to the KMDA through Lalbazar by the various traffic guards after studying the past accidents and suicides and looking for practical solutions. “While the local police stations might be struggling with the regular patrol, it is difficult to predict when a thread can cause an accident. We cannot predict the loss of lives due to accidents or when someone might become suicidal. But the nets can at least act as a deterrent,” said an officer.“More than one suicide at a particular site should always give cause for concern,” said a psychiatrist working with Kolkata police."
5,2019-10-13T06:00:23+05:30,Times of India,"KOLKATA: Two buses competing with each other resulted in yet another serious accident close to Science City where a biker received serious injuries on his leg. The incident took place on Saturday evening when the biker was illegally overtaking one of the buses. The impact was such that the bike got dragged and sparks started emitting from its body. The buses and two wheelers remain two major concerns for traffic cops as both contribute to maximum number of accidents in the city. Fortunately, the biker managed to escape with injuries to his leg. The incident took place on close to Science City on EM Bypass. According to Pragati Maidan police, the biker in his early 30s was trying to overtake a bus after crossing the Parama Island. While trying to do so, he moved to the extreme left lane and accelerated. “At that time, the bus plying on the Taratala-Airport route was trying to block the path of another bus after picking up passengers. When the second bus zipped to its left trying to block the path of the Taratala bus, the Taratala bound bus moved further left.The biker came on its rear path and got hit by the bus. He tumbled and fell on the road. With the incident taking place right next to the police station and a traffic guard, the cops took the victim to the hospital. Till evening, the cops were still at the hospital noting down his statement. Police chased the bus on to the Ambedkar flyover and detained the driver. The bus, too, was seized. The other bus, however, managed to escape.Saturday’s accident took place in the zones that are marked as black spots on the EM Bypass. EM Bypass had three blackspots — Metropolitan City-Dhapa stretch, the Panchannagram stretch and the Parama Island in 2018. “This was a classic case of both the biker and the bus drivers not obeying rules and cutting lanes. We have time and again held workshops for bus drivers and bikers and issued them challans. As for buses, we feel the commission system contributes to bus competing with one another and leading to accidents,” explained an officer from the Tiljala traffic guard.Tapan Banerjee of Joint Council of Bus Syndicate said blaming the commissioning system will not address the issue of gross traffic rule violations."
6,2019-08-12T05:32:22+05:30,Times of India,"KOLKATA: A 21-year-old helmetless biker, Abhishek Roy, was killed and his friend Manisha Roy (18) critically injured early on Sunday after Abhishek’s unregistered motorcycle crashed into a median divider on EM Bypass near Mani Square. None of them was wearing a helmet when the accident took place, said police.Soon after the cops took them to a private hospital off Bypass, Abhishek died of his injuries. Manisha is still admitted there in a very critical condition.TimesViewMultiple studies tell us that tragedies like this can be avoided if only riders wear helmets. Yet, there is a curious reluctance to wear this basic necessity. Cops have conducted several sensitisation programmes and campaigns. Perhaps, it is time to repeat that.Family sources said it was Manisha’s birthday last night. Abhishek — the only son of Basanta Cabin owner Amarnath Roy — picked her up from her Muraripukur home around 10.30pm. “Manisha told us that she was going for dinner with Abhishek and would be back before midnight. When it was too late, we got worried and tried to contact her, but there was no response. Finally, around 2.30am, a male voice from the other end told us that he was a policeman and requested us to rush to the hospital, since her condition was very serious,” said Mrittika Roy, Manisha’s sister-in-law.At Roy’s home in 288A APC Road, Abhishek’s septuagenarian grandmother Jamuna Roy said: “He had told us that he was going for a friend’s birthday party. A little after 10.30pm, he called up his mother to say that he would be late. That was the last time we heard from him.” His father could not be reached for comments.Police said the kind of damage the vehicle suffered indicated that it was on a high speed. The road, too, was slippery because of sporadic rain and that might have caused the accident. According to police sources, both victims were on the road — severely bleeding — when the cops reached the spot. “They had suffered multiple bleeding injuries, including severe head injuries,” said a police source.The Fatal Squad Traffic Police (FSTP) is handling the investigation. The damaged vehicle will undergo a forensic test. Police are also trying to find out whether the helmetless duo was intercepted by any naka check."
7,2019-08-10T05:48:46+05:30,Times of India,"KOLKATA: A 65-year-old tailor from Dhakuria — who also trades in clothing material — almost had his ears torn off when he was thrown off the bus he had just boarded near Gariahat crossing on Friday. His finger were crushed and an elbow was also fractured in the accident that was reported around 9.40am. Samir Pal came under the wheels of a second bus which was competing with the one he was on and tried to overtake it from the left. The victim was taken to a private hospital in Dhakuria before being shifted to another hospital off EM Bypass by his family. Pal will have to undergo corrective surgeries for his injuries. However, doctors said he was stable. The locals claimed the accident took place as the second bus — plying on Route 3C/2 — was trying to overtake the Route 212 bus from the left. The two vehicles, which share a common route for a considerable stretch, had been racing with each other since Bijon Setu. Traffic cops, though, said CCTV footage suggest the victim was also negligent. “Pal had tried to spit out gutka while standing on the footboard. The Route 212 bus was standing at a signal near Citimart, about 30m from Gariahat crossing, and the signal had just turned green. The bus started with a jerk and Pal lost his balance and fell off. The 3C/2 driver would have run him over but braked at the last moment,” said an officer.The local police, however, said they have not found any evidence that Pal had been chewing gutka. He had boarded the bus from Haltu and was headed to Bhowanipore College with his son who had his Part II exams on Friday. The victim told Gariahat police that he was standing behind the conductor, and not on the footboard, when the jerk threw him off. Doctors at Peerless Hospital, where he is admitted, said Pal’s condition was stable. “There is no immediate danger to his life. He needs a complete reconstruction of his ears and we have to carry out several surgeries. He has to be under prolonged treatment,” said one of the senior doctors.“The injuries to the ears are only external. No internal injury has been found. We are planning plastic surgery to repair them. Currently, he is being treated in our emergency unit and we will shift him to the ward soon,” said Peerless CEO Dr Sudipto Mitra. “The accident happened because the second bus was trying to overtake the first one, which was standing in the middle of the road. The victim was bleeding profusely, with one of his ears hanging. The other ear seemed crushed,” said Jaydeep Ray, a shop employee who saw the accident.Cops on Friday launched a drive where passengers on government buses were asked to get off if they were found crowding near the gates. “This is a question of life and death and passengers must realize that footboards are not meant for travelling,” said an officer..(With inputs from Ayush Roy)"
8,2019-10-02T20:52:05+05:30,Times of India,"KOLKATA: One person died and another person was injured in two separate accidents in South Kolkata on Wednesday. The body was sent for post-mortem.A 55-year-old pedestrian identified as Sujoy Dhar was hit by an unidentified bus at Rashbehari Avenue near Gariahat crossing at 1.45pm. The person was immediately rushed to Sishu Mangal hospital where he was declared brought dead. Police is trying to trace the bus.In an another incident on Diamond Harbour Road at 12.20pm, a 32-year-old person Dharmendra Kumar Poddar dashed on a cab and received serious injuries on his left leg. He was initially shifted to Command hospital and from there he was taken to NRS Medical College and hospital where he is undergoing treatment. His condition is reported to be stable now."
9,2019-08-15T05:38:39+05:30,Times of India,"KOLKATA: A 60-year-old man, who had stuck his head out of the window while travelling on a bus, was killed after hitting a lamp post on Diamond Harbour Road near Mominpur post office on Wednesday. James Alam Middah, a resident of Maheshtala, was reportedly feeling sick and had leaned out of the window to throw up. Meanwhile, the bus driver reportedly tried to overtake another bus and veered close to a lamp post. Middah, who had not noticed that the lamp post was just ahead, failed to sit back. As a result, his head was smashed as it hit the post and he died on the spot.This was the third accident in less than a month, where the victims were either maimed or lost lives for sticking their limbs or heads out of buses. The Route 259 bus was headed to Maheshtala from Howrah around 12.15pm. ""Middah was feeling sick and felt like throwing up. He requested the bus driver to slow down, but the conductor denied. He had to lean out of the window,"" said the police. Middah's fellow passengers took him to SSKM Hospital, where he was declared dead. In four other accidents in the city, two persons were killed and three seriously injured. In the first accident, Palash Das, a van puller, was run over by a vehicle at the Outram Road-Red Road crossing. In another accident, an 18-year-old girl, Arshi Begum, was run over by a bus on Strand Road.  A middle-aged woman sustained leg injury after being hit by an app cab that lost control and entered a slum on the link road to Sector V beside 215A bus stand at New Town on Wednesday night. Police said her condition was serious. However, four passengers of the cab were reportedly safe, though one of them had a minor injury."
10,2019-08-17T06:39:56+05:30,Times of India,"BISHNUPUR: Seven members of a family travelling in an SUV from Kolkata airport to Bishnupur’s Dakshin Gouripur died after the vehicle skidded on Julpia-Chakdah Road and fell into a pond on Friday morning. The accident spot was barely 3km from the victims’ home. The hired driver, however, managed to jump out of the vehicle just after its right rear wheel burst and has been absconding sine then. The victims include 29-year-old Altaf Sheikh who flew in from the Middle East where he worked. His father Akkas Ali Sheikh, mother Khalina Bibi, sister Esma Tara Khatun and three relatives had gone to the airport to receive him. Samaresh Pramanik, a witness, said, “Around 5.45am, I heard a loud noise and rushed out of my house to find the tyre of a vehicle had burst. Its driver, wearing a yellow t-shirt, had managed to get out of the car and started running. I saw the SUV fall into a pond beside the road.” Locals alerted Bishnupur police station and cops brought in a crane to lift the SUV out. The victims’ relatives identified the bodies, which were then sent for post-mortem. IC Bishnupur Mainak Banerjee said, “Our team rushed to the place with a crane. We located the spot where the SUV had fallen in and pulled it out.”"
