,Time,Source,Content
0,2018-06-26T16:41:24+05:30,NDTV,"Kolkata: Two persons have died and another one sustained injuries when a two-wheeler carrying them was hit by a speeding bus at Ultadanga in north Kolkata, police said today.Akash Dutta (11) and Bittu Sen (16), both pillion riders without helmets, died in last night's accident, while Mrinmoy Parikshit (23), the rider, also without helmet, was severely injured, a senior officer of Kolkata Police said.""Two private buses were racing on the Ultadanga Main Road around 10.05pm when a scooty came between them. The biker lost his balance and one of the two buses hit his vehicle from behind. The two pillion riders fell off the vehicle and came under the wheels of the bus,"" the officer said.The boys were declared brought dead at RG Kar Hospital, while the injured scooty rider is still critical, the officer said.""Both the buses have been seized by the local police station and a search has been initiated for the drivers, who fled the scene after the incident,"" the officer said.Local people had put up a road blockade after the incident, stalling traffic on the thoroughfare for around 30 minutes, the officer added. "
1,2018-06-18T23:31:32+05:30,NDTV,"Kolkata: Three people, including a couple, were killed on Monday as a speeding ambulance lost control and knocked down a bike and a bicycle in West Bengal's Birbhum district, police said.The accident took place in the morning in Birbhum's Labhpur after one of the front tyres of the ambulance burst, police said.""The speeding ambulance took a sharp right turn after its front right tyre burst and knocked down a bike with two riders near Katoa-Suri road. Sheikh Giyasuddin and his wife Jesmine Bibi both died in the accident,"" the officer in-charge of Labhpur police station said.""The ambulance also collided with a bicycle before overturning. The rider of the cycle got severely injured. He later died in the hospital,"" he said.Police said the driver of the ambulance also sustained injuries and has been admitted to a hospital.""No complaints have been registered yet. We are investigating the incident,"" the officer added.For more Kolkata news, please click here"
2,2018-06-04T10:13:20+05:30,NDTV,"Kolkata: HighlightsSources say the Ferrari lost control on the NH 6 highwayThe car seemingly hit the side of the road, smashing the driver's doorThe crash took place around an hour away from Kolkatawindow._pricee = window._pricee || []; _pricee.push({container : '_pcwgtmid'}); One person was killed and a young woman critically injured when the Ferrari car they were travelling in crashed into a a road divider on National Highway 6 around 30 km on Kolkata's outskirts.The accident took place around 9.30 am. The spot on NH 6 -- Pakuria area of Domjur - is around an hour's drive from Kolkata. NH 6 connects Kolkata to Mumbai.Police sources said the driver of the Ferrari, which was on way to Kolkata, seems to have lost control of the vehicle while apparently travelling at a high speed. The police said the exact details will be revealed only after forensic tests.Pictures from the site indicate the huge impact. The car had hit the wall of an adjoining flyover, smashing the driver's door, the entire front was reduced to a mass of mangled metal. A metal pipe, about 6 inches thick, can be seen piercing what is barely recognizable as the bonnet.The injured woman has been admitted in a hospital in Kolkata. The police are yet to reveal the identity of the two.According to hospital sources, the male occupant of the car was already dead when he was brought in. The woman, believed to be around 19 years old, is in a critical condition, with multiple fractures. The Ferrari California T is a two-door, hard top convertible with over 500 BHP. To put those numbers into perspective, a Maruti Swift makes 86 bhp. The on-road price of the car is around 4.4 crore in Delhi.In July 2017, a man in his 20s died in an accident near Noida Sector 135, involving a speeding Lamborghini. The driver of the Swift Dzire tried to overtake the speeding high-end vehicle, which abruptly swerved to its left hitting a Maruti Eeco car.The impact was such that the Eeco car rolled over into the forested area killing the driver instantly."
3,2018-03-17T19:10:34+05:30,NDTV,"Kolkata: A woman today died after falling from the fifth floor of a high-rise in south Kolkata, police said.The woman, aged around 45 years, fell from the fifth floor of the high-rise on Prince Anwar Shah Road at around 11:30 pm.She was taken to M R Bangur Hospital where she was declared dead on arrival, police said.The woman had a flat on the 17th floor of the high-rise, South City apartments, and lived alone with a maid.The circumstances behind the death, why she had come down from the 17th floor of the same block to the fifth, and how she fell down were being investigated, police said."
4,2016-12-06T06:20:05+05:30,NDTV,"Kolkata: Three people were killed and seven injured after a speeding car jumped a red light and rammed multiple motorcycles and pedestrians waiting to cross the road in Kolkata on Monday.Two people died at the spot and around 20, including the driver of the car, were rushed from the AJC Bose Road to the nearby SSKM hospital. Among the seven critical, one died at the hospital.40-year-old Saidul Mollah from Mathurapur in South Bengal said that he got a call that one of his two daughters aged 8 and 12, who had come to Kolkata with a group of tourists to visit the zoo and the Victoria Memorial, were injured in an accident.Shamim Mollah said his son was injured when the car hit the group waiting to cross the road to go to Victoria Memorial.The accused driver has been identified as Suraj Parekh and the Volkswagen car has been traced to a tea company in Kolkata.Hospital sources claim that the diver was under the influence of alcohol when he lost control and hit other vehicles and pedestrians.""The driver of the car is also admitted to hospital and his condition is serious,"" said Aroop Biswas, one of several senior ministers of the Mamata Banerjee government who rushed to the hospital to ensure the injured got immediate attention.Ms Banerjee's government has been focusing on road safety and has recently launched a campaign 'Safe Drive, Save Life' under which petrol pumps are not allowed to sell fuel to two wheeler riders not wearing helmets."
5,2016-10-16T19:35:16+05:30,NDTV,"Kolkata: Two persons were killed when a speeding light commercial vehicle hit them at Strand Road near the Calcutta High Court on Sunday, the city police said.""At about 7.30 am, a Tata 407 mini-truck hit two persons -- a male, 19, and a female, 42 -- at Strand Road near the High Court and ran away. The victims were walking through when the vehicle hit them,"" said an officer of Kolkata police Traffic control.The victims were rushed to the SSKM Hospital where they were declared brought dead. Their identities are yet to be established.""It seemed the victims were relatives. The hunt for the vehicle and the accused is still on,"" the police officer said.Most of the recent accidents took place in the city due to reckless driving during late night and morning hours, according to the police. "
6,2016-09-23T01:18:03+05:30,NDTV,"Kolkata: In Kolkata, the driver of a luxury car was on Thursday sent to police custody for two days for killing a scooter rider on Sunday. But the arrest did not calm nerves at an upscale housing complex near the crash site vandalised by people from a nearby slum. The slum people suspected, wrongly, the killer car driver lived there. A 'gated community' comprising 350 flats in six towering buildings, 'Oasis' on Panditya Road has two slums nearby. On Sunday, 76 cars inside the complex were smashed within a span of 45 minutes by a mob that also allegedly threatened to burn the buildings down. ""When I heard them shouting, let's get petrol, lets burn it all down, I was scared. Both gates of the complex had been shut by the mob. We couldn't even run away,"" said Laxmi Bajaj, a sixth floor resident.""The mood they were in, it was to destroy everything,"" said President of the residents association, Ajit Daga. Even though the police arrested people and posted security at their gates, residents of the colony still feel insecure and are now working on improving their security on their own with stronger gates, more CCTV, he added.At 3 am that day, a Mercedez hit a scooter, killing its driver about 1.5 km away from Oasis. The attack came at 8 am, leaving residents wondering if it was premeditated or a conflict of haves and have-nots.A retired factory employee, Ram Charan Rai, living opposite the complex says he doesn't believe it's a rich-poor clash. ""But people are saying the rich will pay money and get away with anything,"" he says.Suhrita Saha, sociology head at Presidency University, is not surprised. ""Earlier, there were rich and poor people but the difference was not so visible, the consumption was not so conspicuous,"" she says.At 3 am that day, a Mercedez hit a scooter.""The gated community cannot hope to remain an island untouched by the reality outside,"" Ms Saha adds, ""My fear is, if the system is not more inclusive, such violence will become more frequent and bloody.""In a city known for its tradition of a peaceful co-existence between different classes of society, Varun Maheshwari, the arrested driver of the car, may have cost the city more than the life of just one of its residents."
7,2016-09-19T01:26:59+05:30,NDTV,"Kolkata: Several vehicles were ransacked by an unruly mob after a local died after a bike-car collision early on Sunday.According to police sources at around 02.55 am on Sunday a collision took place between a scooter and a private car at Hazra Road area of South Kolkata injuring three persons.While the rider Avijit Pandey (24) was taken to Shishu Mangal Hospital, the pillion riders - identified as Ramdev Yadav (22) and Mithilesh Yadav (25) - were taken to SSKM Hospital, police sources said.Later Avijit Pandey succumbed to his injuries and the other two were discharged after treatment.Angry over the incident at around 8 in the morning a mob of 100-150 locals entered 'Fort Oasis' building at Panditiya Rd under Lake police station area and ransacked about 70 private cars parked there, the sources said.The mob assumed the offending vehicle entered the parking lot after mowing down Avijit and went on a rampage.In related developments in the evening, relatives of Avijit Pandey left with the body but after reaching Hazra crossing they put up road blockade and demanded the arrest of the driver of offending vehicle.Police later chased away the agitators and the blockade was lifted and the body taken to a crematorium.Four agitators have been detained.The police have launched an investigation into the case."
8,2016-08-22T03:26:56+05:30,NDTV,"Kolkata: Three young men were killed when their speeding car collided with another vehicle on Sunday in West Bengal's East Midnapore district, police said.The accident occurred near Mandarmani, a beach resort.The deceased, identified as Vaibhav Rajnish, Suraj Dasgupta and Shivraj Naskar -- all in their early 20s, were residents of Kolkata.With liquor bottles recovered from the badly mangled car, police suspect it to be a case of drunken driving. "
9,2016-04-09T01:17:08+05:30,NDTV,"Kolkata: The Calcutta High Court today directed the West Bengal government to file an affidavit stating details regarding the flyover, part of which collapsed on March 31, killing 26 people and injuring 89 others.A division bench comprising Chief Justice Manjula Chellur and Justice A Banerjee directed the West Bengal government to file the affidavit in connection with three PILs filed seeking action with regards to the collapse.Counsel for the state government submitted before the court earlier during the day that it would file a report before the court in connection with the construction of the flyover and other details in this regard, following which the division bench directed the government to file the report in the form of an affidavit.The matter would appear for hearing after three weeks.A fourth Public Interest Litigation was also moved before the division bench today claiming, since the tender for construction of the flyover was floated and granted by the erstwhile Left Front government in 2009, those in-charge of affairs during that time should also be held responsible. "
